 ID, FPL Name, Player ID, Full Name, Team, Availability, Position, Current Price, Value Season, Cost Change from Start, Percentage Selected By, Transfers In, Transfers Out, Total Points,  Points Per Game, Minutes, Goals Scored, Assists, Clean Sheets, Goals Conceded, Own Goals, Penalties Saved, Penalties Missed, Yellow Cards, Red Cards, Saves, Bonus Points, Bonus Point System Score, Influence, Creativity, Threat,  ICT Index,
            80,        Surman,        15237,        Andrew Surman,Bournemouth,Knee injury - 50% chance of playing,        3,        47,        0.6,        -3,        0.0,        883,        3396,        3,        1.0,        57,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        9,        6.4,        2.2,        0.0,        0.9,    
            81,        Gosling,        40387,        Dan Gosling,Bournemouth,Available,        3,        49,        0.0,        -1,        0.0,        155,        843,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            82,        Lerma,        152551,        Jefferson Lerma,Bournemouth,Available,        3,        48,        3.3,        -2,        0.1,        6529,        14557,        16,        1.6,        823,        0,        0,        2,        12,        0,        0,        0,        5,        0,        0,        0,        114,        128.6,        48.7,        30.0,        20.7,    
            446,        Stacey,        154131,        Jack Stacey,Bournemouth,Available,        2,        43,        1.2,        -2,        0.1,        2115,        6822,        5,        1.2,        346,        0,        0,        0,        5,        0,        0,        0,        2,        0,        0,        0,        40,        65.8,        14.7,        19.0,        10.0,    
            476,        Billing,        168991,        Philip Billing,Bournemouth,Available,        3,        50,        5.0,        0,        0.2,        13103,        13409,        25,        2.1,        1033,        0,        1,        3,        14,        0,        0,        0,        4,        0,        0,        0,        147,        234.4,        80.0,        145.0,        46.0,    
            492,        Danjuma,        220307,        Arnaut Danjuma Groeneveld,Bournemouth,Available,        3,        58,        1.2,        -2,        0.0,        615,        3967,        7,        1.4,        117,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        0,        10,        16.2,        14.6,        58.0,        8.9,    
            494,        Ramsdale,        225321,        Aaron Ramsdale,Bournemouth,Available,        1,        46,        11.3,        1,        4.4,        319474,        43265,        52,        4.3,        1080,        0,        1,        3,        15,        0,        0,        0,        0,        0,        42,        7,        242,        305.6,        10.0,        0.0,        31.7,    
            505,        Harry Wilson,        153682,        Harry Wilson,Bournemouth,Available,        3,        60,        7.3,        0,        2.9,        387980,        282773,        44,        4.0,        711,        4,        0,        2,        12,        0,        0,        0,        1,        0,        0,        4,        142,        186.6,        119.2,        250.0,        55.8,    
            37,        Duffy,        61933,        Shane Duffy,Brighton,Available,        2,        49,        4.1,        -1,        1.2,        37592,        144376,        20,        2.9,        524,        1,        0,        1,        8,        0,        0,        0,        0,        0,        0,        0,        104,        144.4,        2.9,        41.0,        18.8,    
            38,        Montoya,        86153,        Martín Montoya,Brighton,Available,        2,        45,        7.8,        0,        0.7,        58713,        58725,        35,        3.2,        899,        0,        1,        4,        13,        0,        0,        0,        3,        0,        0,        3,        164,        162.6,        142.2,        54.0,        36.0,    
